Serial No.,Name of the Apartment,Coordinates x,coordinates y
402,"Gokul Residency, Kadri Kambla Road, Mangaluru",12.883954,74.849672
403,"Gola Residency, Alencia Nandigudda Road",12.864537,74.857444
404,"Golbal Riva, Sultan Batteri, Boloor Village'",12.889648,74.824671
405,"Golden Arch, Balmatta Road",12.861408,74.843235
406,"Golden Chambers,(C/R), Car Street Mangalore",12.868377,74.834115
407,"Golden Empire, Ashoknagar Road",12.900145,74.835375
408,"Golden Heritage, Balmatta Road",12.872997,74.852659
409,"Golden Nugget, Alvaris Road",12.880996,74.858591
410,"Golden Spquare, Bibi Alabi Road, Midan 3Rd Cross Road(Commercial)",12.860928,74.839228
411,"Golden Springs & Meeras Complex, Daddalkad 1St Cross Road Chilimbi",12.896452,74.835622
413,"Green Fields, Near Naga Kannika Temple Derebail",12.864460,74.847577
414,"Green Galary (Attavara, Mangalore)",12.862378,74.842699
415,"Green Heights Apt, S.L. Mathias Road",12.865990,74.851812
416,Green Hill Apt Block 1B Bejai Church Road,12.852468,74.852655
417,Green Park 2 Derebail,12.908220,74.858890
418,Green Park Derebail Konchady,12.908094,74.858761
419,Green View Bekalkar Lane Road,12.862371,74.867024
420,"Green Woods( Residencial), S.L. Mathias Road",12.866329,74.851715
421,"Guardian Giovanni, Nanthoor To Kulshekar Road",12.883218,74.879504
422,"Gulmohar Park, Kadri Temple Road",12.883764,74.855638
423,"Gulshan Apartment, Silva Lane To Kankanady",12.867691,74.856261
424,"Gurudev Apt, Koppalakadu Road",12.883175,74.845135
426,"H.H. Diamond City, Marnamikatte Road, Jeeppu Seminary Road",12.852455,74.852059
427,"Habitat, Gutthama Stana Road",12.877077,74.837600
428,"Hajee Residency, Karbala Road",12.860830,74.834297
429,Hallmark (Residncy) Kodialbail Mg Road Cross,12.879284,74.838704
431,"Hamilton Complex, Opp Sbi Mangalore",12.861709,74.836829
432,"Happy Homes, Arya Samaj Road",12.876679,74.851683
433,"Hari Bhakthi Apt, Pinto'S Lane",12.880534,74.846460
436,"Hari Om Harshalaya, Pvs",12.872840,74.835793
440,"Hari Om Vihar, Kodialbail Village & Ward (New)",12.876941,74.843622
441,"Hariraj City Block -6, Akashbhavana Parapade Road",12.905210,74.834619
442,"Harmony ( R) Anand Shetty Circle, Mangaluru",12.863546,74.845926
443,"Harmony, N.G Road, Attavar, Mangaluru",12.862667,74.847138
445,"Hasan Heritage, Valencia Nandigudda Road",12.865878,74.858768
446,"Hathill Apartments , Hathill",12.894030,74.837971
447,"Hathill Crest, Hat Hill, Mangalore.",12.895139,74.837038
450,"Heritage ( R) Gandhi Nagar, Mangaluru",12.887140,74.831563
451,"Heritage (R) Coelho Street, Falnir, Mangaluru",12.864465,74.848078
452,"Hermitage,Falnir",12.865102,74.850650
456,High Groove ( R) Near Bejai Circle,12.886068,74.848808
458,"High-Point Apartment, Nanthoor Junction",12.883741,74.864483
459,"Hill Crest, Hat Hill 2Nd Cross Road, Ladyhill",12.895437,74.837751
460,"Hill Point Iii, Derebail, Konchady",12.908858,74.854600
461,"Hill Scape Living, Bejai New 1St Cross Road",12.889415,74.839847
462,"Hill Side Ferns, Shivabagh, Mangalore",12.875168,74.861612
464,"Hill Streak Residential Enclave Gorigudda, Near",12.860974,74.866543
465,"Hill Streak Residential Enclave Kulshekar
",12.883348,74.875470
466,"His Grace, Hathill, Mangaluru",12.889645,74.838467
467,Holy Family Castle,12.884124,74.837218
468,"Horizon Homes ( R) Bejai, Museum Road, Mangaluru",12.887323,74.849044
469,"Hotel Deepa Comforts, M.G Road, Mangaluru",12.877879,74.841839
474,Ibrose Commercial Complex,12.877360,74.842334
476,"Ideal Towers, Ganapathi Temple Road, ©",12.869952,74.840513
477,Ik Building,12.851890,74.847038
479,"Imperia, Melina Mogaru Road, Kaprigudda (New)",12.863213,74.849314
487,Infinity Kankanady,12.866907,74.856009
488,"Inland Apeiron, Pinto'S Lane, (New)",12.874889,74.840701
489,"Inland Avenue (Com) M.G.Road, Mangalore",12.882204,74.839905
492,"Inland Ebony (Res) Kadri Main Road, Mangalore,",12.878139,74.852046
493,"Inland Echelon, Ballalbagh, Off Mg, Road",12.881809,74.836897
494,"Inland Elan, Matadakani Road, Gandhinagar,",12.887393,74.827318
495,"Inland Elite (Res) Near Navabharath Circle, Kodialbail, Mangaluru",12.873251,74.839427
496,"Inland Eminence (Res) Kadri New Road, Mangalore.",12.884442,74.852862
497,"Inland Enclave, Kadri Temple Rd, Mangaluru",12.882317,74.835032
498,"Inland Encore (Res) Kadri Kambla, Mangalore",12.885032,74.850301
499,"Inland Eon, Matadakani Rd, Mangaluru",12.885702,74.829658
500,"Inland Espana, Stylish Residential Apartment,Bejai, Mangalore",12.886982,74.847156
